Preco,Area,Quartos,Banheiros,Vagas,Preco_m2
240000.0,780.0,2.0,2.0,1.0,307.6923076923077
320000.0,750.0,2.0,3.0,1.0,426.6666666666667
700000.0,1880.0,2.0,1.0,2.0,372.3404255319149
350000.0,730.0,2.0,2.0,1.0,479.45205479452056
110000.0,2500.0,,,,44.0
115000.0,1600.0,,,,71.875
399000.0,2000.0,4.0,3.0,10.0,199.5
200000.0,3750.0,,,,53.333333333333336
370000.0,3000.0,6.0,4.0,3.0,123.33333333333333
820000.0,1800.0,3.0,3.0,4.0,455.55555555555554
160000.0,15000.0,,,,10.666666666666666
300000.0,1410.0,2.0,1.0,2.0,212.7659574468085
265000.0,11750.0,,,,22.5531914893617
400000.0,920.0,3.0,1.0,2.0,434.7826086956522
150000.0,1600.0,,,,93.75
300000.0,500.0,2.0,1.0,1.0,600.0
100000.0,3510.0,,,,28.49002849002849
1500000.0,5000.0,4.0,5.0,6.0,300.0
180000.0,3690.0,,,,48.78048780487805
318000.0,4260.0,,,,74.64788732394366
235000.0,3570.0,,,,65.82633053221288
275000.0,800.0,2.0,2.0,1.0,343.75
287000.0,800.0,2.0,2.0,1.0,358.75
229992.0,2580.0,3.0,1.0,3.0,89.14418604651163
395000.0,700.0,2.0,1.0,1.0,564.2857142857143
120000.0,2500.0,,,,48.0
260000.0,1250.0,2.0,1.0,2.0,208.0
900000.0,2230.0,1.0,3.0,2.0,403.58744394618833
170000.0,3320.0,,,,51.204819277108435
1300000.0,3430.0,4.0,2.0,1.0,379.0087463556851
165000.0,2540.0,,,,64.96062992125984
259000.0,570.0,2.0,1.0,1.0,454.3859649122807
200000.0,1640.0,4.0,2.0,1.0,121.95121951219512
2700000.0,3320.0,,3.0,,813.2530120481928
180000.0,24300.0,,,,7.407407407407407
220000.0,11000.0,,,,20.0
415000.0,1250.0,3.0,2.0,,332.0
150000.0,10000.0,,,,15.0
190000.0,10000.0,,,,19.0
215000.0,3000.0,2.0,3.0,4.0,71.66666666666667
426000.0,2000.0,3.0,2.0,3.0,213.0
395000.0,1200.0,3.0,2.0,2.0,329.1666666666667
299000.0,890.0,2.0,2.0,1.0,335.9550561797753
450000.0,680.0,2.0,2.0,1.0,661.7647058823529
300000.0,740.0,,,4.0,405.4054054054054
300000.0,3900.0,,,,76.92307692307692
400000.0,800.0,2.0,1.0,3.0,500.0
280000.0,630.0,2.0,1.0,2.0,444.44444444444446
500000.0,1960.0,3.0,2.0,4.0,255.10204081632654
320000.0,850.0,2.0,2.0,2.0,376.47058823529414
330000.0,720.0,2.0,2.0,,458.3333333333333
370000.0,39900.0,,,,9.273182957393484
107000.0,1750.0,,,,61.142857142857146
330000.0,1490.0,3.0,1.0,2.0,221.4765100671141
350000.0,440.0,2.0,2.0,1.0,795.4545454545455
370000.0,690.0,2.0,2.0,1.0,536.231884057971
250000.0,5000.0,,,,50.0
305000.0,510.0,2.0,2.0,1.0,598.0392156862745
350000.0,1050.0,3.0,2.0,1.0,333.3333333333333
3250000.0,45500.0,,,,71.42857142857143
265000.0,15000.0,2.0,1.0,,17.666666666666668
120000.0,3790.0,,,,31.662269129287598
320000.0,820.0,2.0,2.0,2.0,390.2439024390244
260000.0,700.0,2.0,2.0,1.0,371.42857142857144
200000.0,2500.0,,,,80.0
240000.0,630.0,2.0,1.0,1.0,380.95238095238096
360000.0,990.0,3.0,2.0,1.0,363.6363636363636
450000.0,1600.0,4.0,3.0,2.0,281.25
150000.0,2500.0,,,,60.0
350000.0,750.0,2.0,2.0,1.0,466.6666666666667
250000.0,640.0,2.0,1.0,1.0,390.625
285000.0,660.0,2.0,1.0,1.0,431.8181818181818
535000.0,780.0,2.0,2.0,1.0,685.8974358974359
14787450.0,2540000.0,,,,5.821830708661417
430000.0,730.0,2.0,2.0,1.0,589.0410958904109
680000.0,1800.0,3.0,3.0,3.0,377.77777777777777
